sample_id,frame_index,timestamp,clean_path,lightswitch_path,selection_source,phase,event_rank,clean_mean_luminance,lightswitch_mean_luminance,log_brightness_ratio,smoothed_log_brightness_ratio,first_difference
18,260,1305031462.791943,/home/melody/data/tum/rgbd_dataset_freiburg1_desk/rgb/1305031462.791943.png,/home/melody/data/tum/rgbd_dataset_freiburg1_desk_lightswitch/rgb/1305031462.791943.png,uniform,,,148.97174479166668,246.69597330729167,0.5044000428265062,0.5044000428265062,0.0033648788259923457
19,312,1305031464.527574,/home/melody/data/tum/rgbd_dataset_freiburg1_desk/rgb/1305031464.527574.png,/home/melody/data/tum/rgbd_dataset_freiburg1_desk_lightswitch/rgb/1305031464.527574.png,uniform,,,134.46685872395832,97.15708333333333,-0.3249886778132868,-0.3249886778132868,-0.041891300717328606
20,364,1305031466.259815,/home/melody/data/tum/rgbd_dataset_freiburg1_desk/rgb/1305031466.259815.png,/home/melody/data/tum/rgbd_dataset_freiburg1_desk_lightswitch/rgb/1305031466.259815.png,uniform,,,138.64157552083333,138.64157552083333,0.0,0.0,0.0
21,379,1305031466.759637,/home/melody/data/tum/rgbd_dataset_freiburg1_desk/rgb/1305031466.759637.png,/home/melody/data/tum/rgbd_dataset_freiburg1_desk_lightswitch/rgb/1305031466.759637.png,turn_on,before,1,105.47284505208333,143.23200846354166,0.30601222292606733,0.30601222292606733,0.07647740701584016
22,383,1305031466.895694,/home/melody/data/tum/rgbd_dataset_freiburg1_desk/rgb/1305031466.895694.png,/home/melody/data/tum/rgbd_dataset_freiburg1_desk_lightswitch/rgb/1305031466.895694.png,turn_on,peak,1,101.19378255208333,202.51135416666668,0.693758632255902,0.693758632255902,0.11414577016933769
23,387,1305031467.027843,/home/melody/data/tum/rgbd_dataset_freiburg1_desk/rgb/1305031467.027843.png,/home/melody/data/tum/rgbd_dataset_freiburg1_desk_lightswitch/rgb/1305031467.027843.png,turn_on,after,1,98.08666666666667,220.27078125,0.8090061661163792,0.8090061661163792,0.014945921182277555
24,416,1305031467.995754,/home/melody/data/tum/rgbd_dataset_freiburg1_desk/rgb/1305031467.995754.png,/home/melody/data/tum/rgbd_dataset_freiburg1_desk_lightswitch/rgb/1305031467.995754.png,uniform,,,117.45435221354167,132.99695963541666,0.12427650077932148,0.12427650077932148,-0.0766956453945431
25,436,1305031468.659579,/home/melody/data/tum/rgbd_dataset_freiburg1_desk/rgb/1305031468.659579.png,/home/melody/data/tum/rgbd_dataset_freiburg1_desk_lightswitch/rgb/1305031468.659579.png,turn_off,before,3,141.83748046875,141.83748046875,0.0,0.0,0.0
26,440,1305031468.795796,/home/melody/data/tum/rgbd_dataset_freiburg1_desk/rgb/1305031468.795796.png,/home/melody/data/tum/rgbd_dataset_freiburg1_desk_lightswitch/rgb/1305031468.795796.png,turn_off,peak,3,138.58525716145834,115.64631510416666,-0.1809491842907749,-0.1809491842907749,-0.06968658934320518
27,444,1305031468.928141,/home/melody/data/tum/rgbd_dataset_freiburg1_desk/rgb/1305031468.928141.png,/home/melody/data/tum/rgbd_dataset_freiburg1_desk_lightswitch/rgb/1305031468.928141.png,turn_off,after,3,135.98112955729167,89.24393229166667,-0.42114268618135486,-0.42114268618135486,-0.05812272830255649
28,468,1305031469.727679,/home/melody/data/tum/rgbd_dataset_freiburg1_desk/rgb/1305031469.727679.png,/home/melody/data/tum/rgbd_dataset_freiburg1_desk_lightswitch/rgb/1305031469.727679.png,uniform,,,132.15902018229167,68.37044921875,-0.6590651864992536,-0.6633253029341819,0.0025673053429960957
29,520,1305031471.459647,/home/melody/data/tum/rgbd_dataset_freiburg1_desk/rgb/1305031471.459647.png,/home/melody/data/tum/rgbd_dataset_freiburg1_desk_lightswitch/rgb/1305031471.459647.png,uniform,,,153.92495442708332,168.22307942708332,0.08882577704058223,0.08882577704058223,0.07375639154694907
30,572,1305031473.196069,/home/melody/data/tum/rgbd_dataset_freiburg1_desk/rgb/1305031473.196069.png,/home/melody/data/tum/rgbd_dataset_freiburg1_desk_lightswitch/rgb/1305031473.196069.png,uniform,,,154.196796875,154.196796875,0.0,0.0,0.0
