sample_id,frame_index,timestamp,selection_source,phase,event_rank,clean_path,lightswitch_path,feature_file,feature_keys,storage_dtype
17,254,1305031462.591862,turn_on,after,2,/home/melody/data/tum/rgbd_dataset_freiburg1_desk/rgb/1305031462.591862.png,/home/melody/data/tum/rgbd_dataset_freiburg1_desk_lightswitch/rgb/1305031462.591862.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_17_1305031462.591862.npz,"conv1_clean,conv1_light,layer1_clean,layer1_light,layer2_clean,layer2_light",float32
18,260,1305031462.791943,uniform,,,/home/melody/data/tum/rgbd_dataset_freiburg1_desk/rgb/1305031462.791943.png,/home/melody/data/tum/rgbd_dataset_freiburg1_desk_lightswitch/rgb/1305031462.791943.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_18_1305031462.791943.npz,"conv1_clean,conv1_light,layer1_clean,layer1_light,layer2_clean,layer2_light",float32
19,312,1305031464.527574,uniform,,,/home/melody/data/tum/rgbd_dataset_freiburg1_desk/rgb/1305031464.527574.png,/home/melody/data/tum/rgbd_dataset_freiburg1_desk_lightswitch/rgb/1305031464.527574.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_19_1305031464.527574.npz,"conv1_clean,conv1_light,layer1_clean,layer1_light,layer2_clean,layer2_light",float32
20,364,1305031466.259815,uniform,,,/home/melody/data/tum/rgbd_dataset_freiburg1_desk/rgb/1305031466.259815.png,/home/melody/data/tum/rgbd_dataset_freiburg1_desk_lightswitch/rgb/1305031466.259815.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_20_1305031466.259815.npz,"conv1_clean,conv1_light,layer1_clean,layer1_light,layer2_clean,layer2_light",float32
21,379,1305031466.759637,turn_on,before,1,/home/melody/data/tum/rgbd_dataset_freiburg1_desk/rgb/1305031466.759637.png,/home/melody/data/tum/rgbd_dataset_freiburg1_desk_lightswitch/rgb/1305031466.759637.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_21_1305031466.759637.npz,"conv1_clean,conv1_light,layer1_clean,layer1_light,layer2_clean,layer2_light",float32
22,383,1305031466.895694,turn_on,peak,1,/home/melody/data/tum/rgbd_dataset_freiburg1_desk/rgb/1305031466.895694.png,/home/melody/data/tum/rgbd_dataset_freiburg1_desk_lightswitch/rgb/1305031466.895694.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_22_1305031466.895694.npz,"conv1_clean,conv1_light,layer1_clean,layer1_light,layer2_clean,layer2_light",float32
23,387,1305031467.027843,turn_on,after,1,/home/melody/data/tum/rgbd_dataset_freiburg1_desk/rgb/1305031467.027843.png,/home/melody/data/tum/rgbd_dataset_freiburg1_desk_lightswitch/rgb/1305031467.027843.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_23_1305031467.027843.npz,"conv1_clean,conv1_light,layer1_clean,layer1_light,layer2_clean,layer2_light",float32
24,416,1305031467.995754,uniform,,,/home/melody/data/tum/rgbd_dataset_freiburg1_desk/rgb/1305031467.995754.png,/home/melody/data/tum/rgbd_dataset_freiburg1_desk_lightswitch/rgb/1305031467.995754.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_24_1305031467.995754.npz,"conv1_clean,conv1_light,layer1_clean,layer1_light,layer2_clean,layer2_light",float32
25,436,1305031468.659579,turn_off,before,3,/home/melody/data/tum/rgbd_dataset_freiburg1_desk/rgb/1305031468.659579.png,/home/melody/data/tum/rgbd_dataset_freiburg1_desk_lightswitch/rgb/1305031468.659579.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_25_1305031468.659579.npz,"conv1_clean,conv1_light,layer1_clean,layer1_light,layer2_clean,layer2_light",float32
26,440,1305031468.795796,turn_off,peak,3,/home/melody/data/tum/rgbd_dataset_freiburg1_desk/rgb/1305031468.795796.png,/home/melody/data/tum/rgbd_dataset_freiburg1_desk_lightswitch/rgb/1305031468.795796.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_26_1305031468.795796.npz,"conv1_clean,conv1_light,layer1_clean,layer1_light,layer2_clean,layer2_light",float32
27,444,1305031468.928141,turn_off,after,3,/home/melody/data/tum/rgbd_dataset_freiburg1_desk/rgb/1305031468.928141.png,/home/melody/data/tum/rgbd_dataset_freiburg1_desk_lightswitch/rgb/1305031468.928141.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_27_1305031468.928141.npz,"conv1_clean,conv1_light,layer1_clean,layer1_light,layer2_clean,layer2_light",float32
28,468,1305031469.727679,uniform,,,/home/melody/data/tum/rgbd_dataset_freiburg1_desk/rgb/1305031469.727679.png,/home/melody/data/tum/rgbd_dataset_freiburg1_desk_lightswitch/rgb/1305031469.727679.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_28_1305031469.727679.npz,"conv1_clean,conv1_light,layer1_clean,layer1_light,layer2_clean,layer2_light",float32
29,520,1305031471.459647,uniform,,,/home/melody/data/tum/rgbd_dataset_freiburg1_desk/rgb/1305031471.459647.png,/home/melody/data/tum/rgbd_dataset_freiburg1_desk_lightswitch/rgb/1305031471.459647.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_29_1305031471.459647.npz,"conv1_clean,conv1_light,layer1_clean,layer1_light,layer2_clean,layer2_light",float32
30,572,1305031473.196069,uniform,,,/home/melody/data/tum/rgbd_dataset_freiburg1_desk/rgb/1305031473.196069.png,/home/melody/data/tum/rgbd_dataset_freiburg1_desk_lightswitch/rgb/1305031473.196069.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_30_1305031473.196069.npz,"conv1_clean,conv1_light,layer1_clean,layer1_light,layer2_clean,layer2_light",float32
