sample_id,timestamp,selection_source,phase,event_rank,layer,condition,png_path,source_npz
3,1305031454.059654,turn_on,peak,3,conv1,clean,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_03_1305031454.059654_conv1_clean.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_03_1305031454.059654.npz
3,1305031454.059654,turn_on,peak,3,conv1,light,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_03_1305031454.059654_conv1_light.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_03_1305031454.059654.npz
3,1305031454.059654,turn_on,peak,3,layer1,clean,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_03_1305031454.059654_layer1_clean.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_03_1305031454.059654.npz
3,1305031454.059654,turn_on,peak,3,layer1,light,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_03_1305031454.059654_layer1_light.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_03_1305031454.059654.npz
3,1305031454.059654,turn_on,peak,3,layer2,clean,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_03_1305031454.059654_layer2_clean.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_03_1305031454.059654.npz
3,1305031454.059654,turn_on,peak,3,layer2,light,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_03_1305031454.059654_layer2_light.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_03_1305031454.059654.npz
4,1305031454.191658,turn_on,after,3,conv1,clean,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_04_1305031454.191658_conv1_clean.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_04_1305031454.191658.npz
4,1305031454.191658,turn_on,after,3,conv1,light,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_04_1305031454.191658_conv1_light.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_04_1305031454.191658.npz
4,1305031454.191658,turn_on,after,3,layer1,clean,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_04_1305031454.191658_layer1_clean.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_04_1305031454.191658.npz
4,1305031454.191658,turn_on,after,3,layer1,light,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_04_1305031454.191658_layer1_light.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_04_1305031454.191658.npz
4,1305031454.191658,turn_on,after,3,layer2,clean,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_04_1305031454.191658_layer2_clean.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_04_1305031454.191658.npz
4,1305031454.191658,turn_on,after,3,layer2,light,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_04_1305031454.191658_layer2_light.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_04_1305031454.191658.npz
5,1305031455.091700,uniform,,,conv1,clean,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_05_1305031455.091700_conv1_clean.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_05_1305031455.091700.npz
5,1305031455.091700,uniform,,,conv1,light,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_05_1305031455.091700_conv1_light.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_05_1305031455.091700.npz
5,1305031455.091700,uniform,,,layer1,clean,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_05_1305031455.091700_layer1_clean.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_05_1305031455.091700.npz
5,1305031455.091700,uniform,,,layer1,light,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_05_1305031455.091700_layer1_light.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_05_1305031455.091700.npz
5,1305031455.091700,uniform,,,layer2,clean,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_05_1305031455.091700_layer2_clean.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_05_1305031455.091700.npz
5,1305031455.091700,uniform,,,layer2,light,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_05_1305031455.091700_layer2_light.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_05_1305031455.091700.npz
6,1305031455.891657,turn_off,before,2,conv1,clean,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_06_1305031455.891657_conv1_clean.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_06_1305031455.891657.npz
6,1305031455.891657,turn_off,before,2,conv1,light,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_06_1305031455.891657_conv1_light.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_06_1305031455.891657.npz
6,1305031455.891657,turn_off,before,2,layer1,clean,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_06_1305031455.891657_layer1_clean.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_06_1305031455.891657.npz
6,1305031455.891657,turn_off,before,2,layer1,light,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_06_1305031455.891657_layer1_light.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_06_1305031455.891657.npz
6,1305031455.891657,turn_off,before,2,layer2,clean,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_06_1305031455.891657_layer2_clean.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_06_1305031455.891657.npz
6,1305031455.891657,turn_off,before,2,layer2,light,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_06_1305031455.891657_layer2_light.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_06_1305031455.891657.npz
7,1305031456.027770,turn_off,peak,2,conv1,clean,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_07_1305031456.027770_conv1_clean.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_07_1305031456.027770.npz
7,1305031456.027770,turn_off,peak,2,conv1,light,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_07_1305031456.027770_conv1_light.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_07_1305031456.027770.npz
7,1305031456.027770,turn_off,peak,2,layer1,clean,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_07_1305031456.027770_layer1_clean.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_07_1305031456.027770.npz
7,1305031456.027770,turn_off,peak,2,layer1,light,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_07_1305031456.027770_layer1_light.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_07_1305031456.027770.npz
7,1305031456.027770,turn_off,peak,2,layer2,clean,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_07_1305031456.027770_layer2_clean.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_07_1305031456.027770.npz
7,1305031456.027770,turn_off,peak,2,layer2,light,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_07_1305031456.027770_layer2_light.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_07_1305031456.027770.npz
8,1305031456.159731,turn_off,after,2,conv1,clean,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_08_1305031456.159731_conv1_clean.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_08_1305031456.159731.npz
8,1305031456.159731,turn_off,after,2,conv1,light,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_08_1305031456.159731_conv1_light.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_08_1305031456.159731.npz
8,1305031456.159731,turn_off,after,2,layer1,clean,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_08_1305031456.159731_layer1_clean.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_08_1305031456.159731.npz
8,1305031456.159731,turn_off,after,2,layer1,light,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_08_1305031456.159731_layer1_light.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_08_1305031456.159731.npz
8,1305031456.159731,turn_off,after,2,layer2,clean,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_08_1305031456.159731_layer2_clean.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_08_1305031456.159731.npz
8,1305031456.159731,turn_off,after,2,layer2,light,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_08_1305031456.159731_layer2_light.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_08_1305031456.159731.npz
9,1305031457.091655,uniform,,,conv1,clean,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_09_1305031457.091655_conv1_clean.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_09_1305031457.091655.npz
9,1305031457.091655,uniform,,,conv1,light,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_09_1305031457.091655_conv1_light.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_09_1305031457.091655.npz
9,1305031457.091655,uniform,,,layer1,clean,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_09_1305031457.091655_layer1_clean.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_09_1305031457.091655.npz
9,1305031457.091655,uniform,,,layer1,light,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_09_1305031457.091655_layer1_light.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_09_1305031457.091655.npz
9,1305031457.091655,uniform,,,layer2,clean,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_09_1305031457.091655_layer2_clean.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_09_1305031457.091655.npz
9,1305031457.091655,uniform,,,layer2,light,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_09_1305031457.091655_layer2_light.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_09_1305031457.091655.npz
10,1305031459.027665,uniform,,,conv1,clean,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_10_1305031459.027665_conv1_clean.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_10_1305031459.027665.npz
10,1305031459.027665,uniform,,,conv1,light,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_10_1305031459.027665_conv1_light.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_10_1305031459.027665.npz
10,1305031459.027665,uniform,,,layer1,clean,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_10_1305031459.027665_layer1_clean.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_10_1305031459.027665.npz
10,1305031459.027665,uniform,,,layer1,light,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_10_1305031459.027665_layer1_light.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_10_1305031459.027665.npz
10,1305031459.027665,uniform,,,layer2,clean,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_10_1305031459.027665_layer2_clean.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_10_1305031459.027665.npz
10,1305031459.027665,uniform,,,layer2,light,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_10_1305031459.027665_layer2_light.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_10_1305031459.027665.npz
11,1305031460.127690,turn_off,before,1,conv1,clean,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_11_1305031460.127690_conv1_clean.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_11_1305031460.127690.npz
11,1305031460.127690,turn_off,before,1,conv1,light,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_11_1305031460.127690_conv1_light.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_11_1305031460.127690.npz
11,1305031460.127690,turn_off,before,1,layer1,clean,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_11_1305031460.127690_layer1_clean.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_11_1305031460.127690.npz
11,1305031460.127690,turn_off,before,1,layer1,light,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_11_1305031460.127690_layer1_light.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_11_1305031460.127690.npz
11,1305031460.127690,turn_off,before,1,layer2,clean,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_11_1305031460.127690_layer2_clean.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_11_1305031460.127690.npz
11,1305031460.127690,turn_off,before,1,layer2,light,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_11_1305031460.127690_layer2_light.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_11_1305031460.127690.npz
12,1305031460.291689,turn_off,peak,1,conv1,clean,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_12_1305031460.291689_conv1_clean.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_12_1305031460.291689.npz
12,1305031460.291689,turn_off,peak,1,conv1,light,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_12_1305031460.291689_conv1_light.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_12_1305031460.291689.npz
12,1305031460.291689,turn_off,peak,1,layer1,clean,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_12_1305031460.291689_layer1_clean.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_12_1305031460.291689.npz
12,1305031460.291689,turn_off,peak,1,layer1,light,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_12_1305031460.291689_layer1_light.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_12_1305031460.291689.npz
12,1305031460.291689,turn_off,peak,1,layer2,clean,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_12_1305031460.291689_layer2_clean.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_12_1305031460.291689.npz
12,1305031460.291689,turn_off,peak,1,layer2,light,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_12_1305031460.291689_layer2_light.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_12_1305031460.291689.npz
13,1305031460.459620,turn_off,after,1,conv1,clean,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_13_1305031460.459620_conv1_clean.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_13_1305031460.459620.npz
13,1305031460.459620,turn_off,after,1,conv1,light,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_13_1305031460.459620_conv1_light.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_13_1305031460.459620.npz
13,1305031460.459620,turn_off,after,1,layer1,clean,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_13_1305031460.459620_layer1_clean.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_13_1305031460.459620.npz
13,1305031460.459620,turn_off,after,1,layer1,light,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_13_1305031460.459620_layer1_light.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_13_1305031460.459620.npz
13,1305031460.459620,turn_off,after,1,layer2,clean,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_13_1305031460.459620_layer2_clean.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_13_1305031460.459620.npz
13,1305031460.459620,turn_off,after,1,layer2,light,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_13_1305031460.459620_layer2_light.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_13_1305031460.459620.npz
14,1305031461.027620,uniform,,,conv1,clean,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_14_1305031461.027620_conv1_clean.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_14_1305031461.027620.npz
14,1305031461.027620,uniform,,,conv1,light,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_14_1305031461.027620_conv1_light.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_14_1305031461.027620.npz
14,1305031461.027620,uniform,,,layer1,clean,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_14_1305031461.027620_layer1_clean.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_14_1305031461.027620.npz
14,1305031461.027620,uniform,,,layer1,light,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_14_1305031461.027620_layer1_light.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_14_1305031461.027620.npz
14,1305031461.027620,uniform,,,layer2,clean,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_14_1305031461.027620_layer2_clean.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_14_1305031461.027620.npz
14,1305031461.027620,uniform,,,layer2,light,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_14_1305031461.027620_layer2_light.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_14_1305031461.027620.npz
15,1305031462.327540,turn_on,before,2,conv1,clean,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_15_1305031462.327540_conv1_clean.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_15_1305031462.327540.npz
15,1305031462.327540,turn_on,before,2,conv1,light,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_15_1305031462.327540_conv1_light.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_15_1305031462.327540.npz
15,1305031462.327540,turn_on,before,2,layer1,clean,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_15_1305031462.327540_layer1_clean.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_15_1305031462.327540.npz
15,1305031462.327540,turn_on,before,2,layer1,light,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_15_1305031462.327540_layer1_light.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_15_1305031462.327540.npz
15,1305031462.327540,turn_on,before,2,layer2,clean,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_15_1305031462.327540_layer2_clean.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_15_1305031462.327540.npz
15,1305031462.327540,turn_on,before,2,layer2,light,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_15_1305031462.327540_layer2_light.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_15_1305031462.327540.npz
16,1305031462.459897,turn_on,peak,2,conv1,clean,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_16_1305031462.459897_conv1_clean.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_16_1305031462.459897.npz
16,1305031462.459897,turn_on,peak,2,conv1,light,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_16_1305031462.459897_conv1_light.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_16_1305031462.459897.npz
16,1305031462.459897,turn_on,peak,2,layer1,clean,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_16_1305031462.459897_layer1_clean.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_16_1305031462.459897.npz
16,1305031462.459897,turn_on,peak,2,layer1,light,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_16_1305031462.459897_layer1_light.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_16_1305031462.459897.npz
16,1305031462.459897,turn_on,peak,2,layer2,clean,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_16_1305031462.459897_layer2_clean.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_16_1305031462.459897.npz
16,1305031462.459897,turn_on,peak,2,layer2,light,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_16_1305031462.459897_layer2_light.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_16_1305031462.459897.npz
17,1305031462.591862,turn_on,after,2,conv1,clean,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_17_1305031462.591862_conv1_clean.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_17_1305031462.591862.npz
